audio_path,duration,voiced_ratio,voiced_frames,f0_range,rms,keep,reason
data/self/1-2-2/speaker01_ya2_02.wav,2.372187,0.000000,0,0.000000,0.046230,0,duration_too_long
data/self/1-2-2/speaker01_qiu2_02.wav,2.372187,0.173333,13,4.000000,0.048589,0,duration_too_long
data/self/1-2-2/speaker01_hong2_02.wav,2.372187,0.160000,12,4.000000,0.031777,0,duration_too_long
data/self/1-2-2/speaker01_bai2_02.wav,2.372187,0.000000,0,0.000000,0.037168,0,duration_too_long
data/self/1-2-2/speaker01_lai2_02.wav,2.372187,0.213333,16,4.000000,0.033875,0,duration_too_long
data/self/1-2-2/speaker01_hui2_02.wav,2.372125,0.186667,14,4.000000,0.037289,0,duration_too_long
data/self/1-2-2/speaker01_xue2_02.wav,2.372125,0.106667,8,4.000000,0.049249,0,duration_too_long
data/self/1-2-2/speaker01_ming2_02.wav,2.372125,0.213333,16,4.000000,0.033607,0,duration_too_long
data/self/1-2-2/speaker01_lin2_02.wav,2.372125,0.186667,14,4.000000,0.037407,0,duration_too_long
data/self/1-2-2/speaker01_long2_02.wav,2.372125,0.200000,15,4.000000,0.032611,0,duration_too_long
data/self/1-2-2/speaker01_shi2_02.wav,2.372125,0.000000,0,0.000000,0.049827,0,duration_too_long
data/self/1-2-2/speaker01_bi2_02.wav,2.372125,0.160000,12,4.000000,0.039817,0,duration_too_long
data/self/1-2-2/speaker01_pi2_02.wav,2.372125,0.160000,12,4.000000,0.038217,0,duration_too_long
data/self/1-2-2/speaker01_tou2_02.wav,2.372125,0.160000,12,4.000000,0.044882,0,duration_too_long
data/self/1-2-2/speaker01_you2_02.wav,2.372125,0.200000,15,4.000000,0.052757,0,duration_too_long
data/self/1-2-2/speaker01_zhu2_02.wav,2.372125,0.186667,14,4.000000,0.040790,0,duration_too_long
data/self/1-2-2/speaker01_lan2_02.wav,2.372125,0.186667,14,4.000000,0.031629,0,duration_too_long
data/self/1-2-2/speaker01_qian2_02.wav,2.372125,0.160000,12,4.000000,0.036076,0,duration_too_long
data/self/1-2-3/speaker01_ma2_03.wav,1.653563,0.134615,7,4.000000,0.051798,0,low_voiced_ratio
data/self/1-2-3/speaker01_cha2_03.wav,1.653563,0.000000,0,0.000000,0.055967,0,low_voiced_ratio
data/self/1-2-3/speaker01_yu2_03.wav,1.653563,0.250000,13,4.000000,0.056224,0,low_voiced_ratio
data/self/1-2-3/speaker01_niu2_03.wav,1.653563,0.288462,15,4.000000,0.058962,0,low_voiced_ratio
data/self/1-2-3/speaker01_ren2_03.wav,1.653563,0.461538,24,4.000000,0.044487,1,ok
data/self/1-2-3/speaker01_men2_03.wav,1.653563,0.307692,16,4.000000,0.041922,0,low_voiced_ratio
data/self/1-2-3/speaker01_tian2_03.wav,1.653500,0.269231,14,4.000000,0.045907,0,low_voiced_ratio
data/self/1-2-3/speaker01_he2_03.wav,1.653500,0.230769,12,4.000000,0.059128,0,low_voiced_ratio
data/self/1-2-3/speaker01_yun2_03.wav,1.653500,0.557692,29,4.000000,0.048694,1,ok
data/self/1-2-3/speaker01_chuan2_03.wav,1.653500,0.288462,15,4.000000,0.043237,0,low_voiced_ratio
data/self/1-2-3/speaker01_yang2_03.wav,1.653500,0.326923,17,4.000000,0.049218,0,low_voiced_ratio
data/self/1-2-3/speaker01_chong2_03.wav,1.653500,0.269231,14,4.000000,0.039500,0,low_voiced_ratio
data/self/1-2-3/speaker01_ya2_03.wav,1.653500,0.442308,23,4.000000,0.059368,1,ok
data/self/1-2-3/speaker01_qiu2_03.wav,1.653500,0.269231,14,4.000000,0.062027,0,low_voiced_ratio
